kalimat,bobot_kalimat,sentimen,created
"Saya kecewa dengan baterai yang cepat habis.",-0.654321,Negatif,2023-12-24 12:12:00
"Fitur-fitur canggih membuat smartphone ini luar biasa.",0.945678,Positif,2023-12-24 12:13:00
"Saya sangat menyukai smartphone ini!",0.800000,Positif,2023-12-24 12:00:00
"Kualitas kamera sangat buruk.",-0.500000,Negatif,2023-12-24 12:01:00
"Harga terlalu mahal untuk fitur yang ditawarkan.",-0.700000,Negatif,2023-12-24 12:02:00
"Baterai awet seharian.",0.700000,Positif,2023-12-24 12:03:00
"Sistem operasi sangat lancar.",0.800000,Positif,2023-12-24 12:04:00
"Tidak ada pembaruan perangkat lunak yang tersedia.",-0.600000,Negatif,2023-12-24 12:05:00
"Desain smartphone sangat elegan.",0.900000,Positif,2023-12-24 12:06:00
"Layar smartphone terlalu kecil.",-0.400000,Negatif,2023-12-24 12:07:00
"Fitur kamera sangat kreatif.",0.700000,Positif,2023-12-24 12:08:00
"Sinyal jaringan sangat kuat.",0.800000,Positif,2023-12-24 12:09:00
"Kualitas layar cukup baik.",0.600000,Positif,2023-12-24 12:10:00
"Harga terjangkau untuk kualitas yang diberikan.",0.700000,Positif,2023-12-24 12:11:00
"Saya kecewa dengan baterai yang cepat habis.",-0.600000,Negatif,2023-12-24 12:12:00
